item,string,int
ID,名字,"0英雄，1装备，2材料，3礼包，4碎片，5突飞令，6战法, 7战法研究书，8货币, 9战马, 10头像框, 11称号, 12坐骑, 13木人, 14逆塔防卡牌, 15坐骑道具, 16福星符, 17宝箱（军团祈福获得的道具）, 18选择性打开礼包, 19名将信物 20神兵 21限时道具 22头像 23灵饰 24随机装备掉落 25获得挂机奖励道具 26可通过掉落触发红点的道具（军令值，活动兑换等）99其它, 100不可见"
id,name,type
1,龙纹香,2
2,魏之卷,2
3,蜀之卷,2
4,吴之卷,2
5,群绝卷,2
6,军令值,26
7,代金券,2
8,演武入场券,2
9,寻宝积分,99
10,七星灯,99
11,战令值,26
12,龙令值,26
15,经验,99
16,银币,99
17,贵族经验,99
18,玄武石,2
20,金币,99
21,活跃,99
28,元魂,2
30,机巧核心,99
31,砍价刀,26
39,巅峰币,99
44,迷宫币,99
107,军团币,8
109,军团资金,2
113,高阶令,99
160,一阶破军石,2
161,一阶断魂石,2
162,一阶八卦石,2
163,一阶材料随机礼包,3
164,一阶材料任选礼包,18
165,二阶破军石,2
166,二阶断魂石,2
167,二阶八卦石,2
168,二阶材料随机礼包,3
169,二阶材料任选礼包,18
171,石砖,2
172,丹阳军军旗,2
181,代号5000全英雄大礼包,3
182,代号5000吴阵营英雄大礼包,3
183,代号5000蜀阵营英雄大礼包,3
184,代号5000魏阵营英雄大礼包,3
185,代号5000群绝营英雄大礼包,3
191,全体英雄头像宝箱,3
192,吴国全英雄头像宝箱,3
193,蜀国全英雄头像宝箱,3
194,魏国全英雄头像宝箱,3
195,群雄绝世头像宝箱,3
199,书坊兑换道具,99
200,玉币,2
201,魂玉,2
202,三才玉,2
203,祈愿玉,2
206,寻访值,99
210,军团物资,2
211,古器碎片,2
212,战功,2
213,星芒碎片,2
269,元魂(小),25
270,银币(小),25
271,元魂(中),25
272,银币(中),25
273,元魂(大),25
274,银币(大),25
275,灵粹(小),25
276,灵粹(中),25
277,灵粹(大),25
301,饯别书,99
303,友情点,99
365,蓝色英雄卡,4
366,紫色英雄卡,4
367,蓝色英雄卡(魏),4
368,蓝色英雄卡(蜀),4
369,蓝色英雄卡(吴),4
370,紫色英雄卡(魏),4
371,紫色英雄卡(蜀),4
372,紫色英雄卡(吴),4
373,任选阵营随机卡,18
374,红色武器箱,18
375,红色头盔箱,18
376,红色衣服箱,18
377,红色鞋子箱,18
378,红色装备任选,18
379,魏阵营任选卡,18
380,蜀阵营任选卡,18
381,吴阵营任选卡,18
382,紫色英雄任选卡,18
383,群绝任选卡,18
384,重铸卷轴,2
385,贡灯,2
386,史诗套装任选,3
387,专武材料礼包,3
388,材料任选礼包,18
389,龙井香茗,26
390,巅峰赛膜拜展示,99
391,兑换币,26
392,雪球,26
393,冰雪三国,99
394,神机令,2
395,魏阵营回退卡,18
396,蜀阵营回退卡,18
397,吴阵营回退卡,18
398,福,26
399,新春三国,99
400,桃花,26
401,玉兰,26
402,粽子,26
403,剪刀,26
404,西瓜,26
405,布币,26
442,随机小宝箱钥匙,27
501,白虎幸运战利品,3
502,青龙幸运战利品,3
906,普通星石,99
907,高级星石,99
1601,阵营卷轴任选,18
4201,随机灰色装备,24
4202,随机绿色装备,24
4203,随机蓝色装备,24
4204,随机蓝色+装备,24
4205,随机紫色装备,24
4206,随机紫色+装备,24
4207,随机金色装备,24
4208,随机金色+装备,24
4209,随机红色装备,24
4997,灵粹,2
5108,星岩砂,2
5109,月汐砂,2
5110,日焰砂,2
10001,徐盛头像,22
10002,朱恒头像,22
10003,韩当头像,22
10004,孙尚香头像,22
10005,马忠头像,22
10006,小乔头像,22
10007,鲁肃头像,22
10008,孙权头像,22
10009,大乔头像,22
10010,孙策头像,22
10011,周瑜头像,22
10012,太史慈头像,22
10013,孙鲁育头像,22
10101,周仓头像,22
10102,孙乾头像,22
10103,马谡头像,22
10104,廖化头像,22
10105,张星彩头像,22
10106,赵云头像,22
10107,关羽头像,22
10108,诸葛亮头像,22
10109,刘备头像,22
10110,马超头像,22
10111,关银屏头像,22
10112,张飞头像,22
10113,张苞头像,22
10201,郭淮头像,22
10202,李典头像,22
10203,杨修头像,22
10204,曹植头像,22
10205,蒋干头像,22
10206,甄姬头像,22
10207,许褚头像,22
10208,典韦头像,22
10209,荀彧头像,22
10210,张辽头像,22
10211,辛宪英头像,22
10212,张春华头像,22
10213,王异头像,22
10214,贾诩头像,22
10301,貂蝉头像,22
10302,吕布头像,22
10303,蔡文姬头像,22
10304,华佗头像,22
10401,西施头像,22
10402,墨子头像,22
10403,花木兰头像,22
10404,武则天头像,22
11001,蔡文姬默认皮肤,28
11002,蝶音华黛,28
12001,龙吟九州,22
15100,张辽,0
15101,甄姬,0
15102,张辽,0
15103,张春华,0
15104,荀彧,0
15105,蒋干,0
15200,张苞,0
15201,赵云,0
15202,刘备,0
15203,张飞,0
15204,关羽,0
15205,诸葛亮,0
15300,孙策,0
15301,大乔,0
15302,鲁肃,0
15303,鲁肃,0
15304,太史慈,0
15305,周瑜,0
15400,吕布,0
15401,貂蝉,0
15402,墨子,0
15403,华佗,0
15404,武则天,0
16100,张郃,0
16101,张青,0
16102,徐晃,0
16103,辛宪英,0
16104,蔡文姬,0
16105,荀攸,0
16106,许褚,0
16107,杨修,0
16108,王异,0
16109,庞德,0
16110,曹植,0
16200,马岱,0
16201,关银屏,0
16202,马超,0
16203,祝融,0
16204,徐庶,0
16205,关银屏,0
16206,廖化,0
16207,廖化,0
16208,姜维(废弃不要用),0
16209,庞统,0
16210,法正,0
16300,徐盛,0
16301,孙策,0
16302,西施,0
16303,刘备,0
16304,孙鲁育,0
16305,周泰,0
16306,孙权,0
16307,韩当,0
16308,孙尚香,0
16309,小乔,0
16310,马忠,0
16400,马腾,0
16401,公孙瓒,0
16402,张角,0
16403,花木兰,0
16404,袁术,0
16405,高顺,0
16406,文丑(暂留后期),0
16407,颜良(暂留后期),0
16408,陈宫,0
16409,李儒,0
16410,贾诩,0
17100,乐进,0
17101,通用武官1,0
17102,通用武官2,0
17103,通用武官大个,0
17104,充数魏将5,0
17105,通用文官,0
17106,通用文官2,0
17107,通用文官大个,0
17108,充数魏将9,0
17109,充数魏将10,0
17110,曹洪,0
17111,于禁,0
17112,充数魏将13,0
17113,充数魏将14,0
17114,充数魏将15,0
17115,充数魏将16,0
17116,充数魏将17,0
17117,充数魏将18,0
17118,充数魏将19,0
17119,充数魏将20,0
17200,孙尚香,0
17201,充数蜀将2,0
17202,充数蜀将3,0
17203,充数蜀将4,0
17204,充数蜀将5,0
17205,马谡,0
17206,充数蜀将7,0
17207,充数蜀将8,0
17208,充数蜀将9,0
17209,充数蜀将10,0
17210,张苞,0
17211,充数蜀将12,0
17212,充数蜀将13,0
17213,充数蜀将14,0
17214,充数蜀将15,0
17215,充数蜀将16,0
17216,充数蜀将17,0
17217,充数蜀将18,0
17218,充数蜀将19,0
17219,充数蜀将20,0
17300,充数吴将1,0
17301,充数吴将2,0
17302,充数吴将3,0
17303,充数吴将4,0
17304,充数吴将5,0
17305,王异,0
17306,充数吴将7,0
17307,充数吴将8,0
17308,充数吴将9,0
17309,充数吴将10,0
17310,华雄,0
17311,充数吴将12,0
17312,充数吴将13,0
17313,充数吴将14,0
17314,充数吴将15,0
17315,充数吴将16,0
17316,充数吴将17,0
17317,充数吴将18,0
17318,充数吴将19,0
17319,充数吴将20,0
17400,韩当,0
17401,张梁,0
17402,韩当,0
17403,关平,0
17404,周仓,0
17405,张宝,0
17406,孙鲁育,0
17407,辛宪英,0
17408,卞喜,0
17409,充数群雄将10,0
17410,刘璋,0
17411,胡轸,0
17412,诸葛瑾,0
17413,徐荣,0
17414,管亥,0
17415,陶谦,0
17416,程昱,0
17417,许攸,0
17418,李肃,0
17419,侍卫,0
17506,邓艾,0
17510,姜维,0
17514,钟会,0
18000,召虎·张辽,0
18001,鬼才·甄姬,0
18002,枭雄·张辽,0
18003,刚烈·夏侯,0
18004,鬼谋·司马,0
18005,王佐·蒋干,0
18006,龙胆·张苞,0
18007,仁皇·刘备,0
18008,战神·张飞,0
18009,武圣·关羽,0
18010,天纵·诸葛,0
18011,虎勇·孙策,0
18012,厚德·鲁肃,0
18013,忠勇·鲁肃,0
18014,神武·太史慈,0
18015,智谋·周瑜,0
18016,无双·吕布,0
18017,闭月·貂蝉,0
18018,玄机·水镜,0
18019,奇智·庞统,0
18020,睿才·小乔,0
18021,耀威·邓艾,0
18022,雄胆·姜维,0
18023,奋武·钟会,0
18024,虓虎·赵云,0
18025,神隐·水镜,0
18026,圣手·嬴政,0
18027,恶来·王异,0
18028,玲珑·月英,0
19001,刘备,0
19002,张飞,0
19003,关羽,0
19004,吕布,0
19005,赵云,0
19006,张角,0
20001,郭淮,0
20002,周仓,0
20003,李典,0
20004,孙尚香,0
20005,马忠,0
20006,韩当,0
20007,徐盛,0
20008,曹植,0
20009,马谡,0
20010,朱桓,0
20011,孙尚香,0
20012,廖化,0
20013,马谡,0
20014,孙乾,0
20015,曹植,0
20016,杨修,0
20017,韩当,0
20018,孙尚香,0
20019,徐盛,0
20020,蒋干,0
20021,孙权,0
20022,徐盛,0
20023,马谡,0
20024,马忠,0
20025,李典,0
20026,许褚,0
